Address,Value,Soft Miss,Hard Miss, Hit, Evicted Page, Dirty Bit
A952,212,1,1,0,0,0
4C3A,66,1,1,0,0,0
FACF,112,1,1,0,0,0
065F,105,1,1,0,0,0
3EFA,96,1,1,0,0,0
FFE0,43,1,1,0,0,0
BA88,188,1,1,0,0,0
8541,246,1,1,0,0,0
7B01,12,1,1,0,0,0
15F2,136,1,1,0,0,0
5E9A,165,1,1,0,0,0
9E6A,13,1,1,0,0,0
5A2B,120,1,1,0,0,0
B598,232,1,1,0,0,0
DC6B,202,1,1,0,0,0
5C33,62,1,1,0,0,0
A884,0,1,1,0,6,0
7474,220,1,1,0,21,0
1424,5,1,1,0,62,0
3788,121,1,1,0,76,0
1580,140,1,1,0,90,0
8CB2,230,1,1,0,92,0
18FA,26,1,1,0,94,0
BC2A,27,1,1,0,116,0
3314,158,1,1,0,123,0
4AAA,92,1,1,0,133,0
6831,188,1,1,0,158,0
BDC6,151,1,1,0,168,0
7CE6,101,1,1,0,169,0
9520,163,1,1,0,181,0
A1FA,56,1,1,0,186,0
BCAD,47,1,0,1,0,0
9183,67,1,1,0,189,0
36E6,20,1,1,0,220,0
69B1,151,1,1,0,250,0
A2B0,95,1,1,0,255,0
B1E1,116,1,1,0,20,0
D656,90,1,1,0,21,0
8F56,209,1,1,0,24,0
175B,178,1,1,0,51,0
58AB,16,1,1,0,54,0
794F,102,1,1,0,55,0
6874,22,1,0,1,0,0
A3FE,145,1,1,0,74,0
28B4,211,1,1,0,105,0
B463,164,1,1,0,124,0
B297,153,1,1,0,140,0
76F6,28,1,1,0,143,0
8CD9,22,1,1,0,145,0
F7EF,166,1,1,0,149,0
FCF4,207,1,1,0,161,0
6A4C,41,1,1,0,162,0
B71D,196,1,1,0,163,0
1593,217,1,1,0,177,0
F05F,167,1,1,0,178,0
438F,52,1,1,0,180,0
AEB3,132,1,1,0,188,0
8CF6,107,1,0,1,0,0
A158,222,1,1,0,214,0
4560,146,1,1,0,247,0
660D,178,1,1,0,252,0
52F0,8,1,1,0,21,0
7B8A,234,1,1,0,23,0
294A,28,1,1,0,40,0
4AD0,73,1,1,0,67,1
CF95,44,1,1,0,69,0
F060,9,1,0,1,0,0
8FD2,174,1,1,0,88,0
6863,-4050064,1,0,0,0,0
5726,149,1,1,0,106,0
B123,82,1,1,0,118,0
89C7,109,1,1,0,121,0
5EB9,140,1,1,0,123,1
05F8,72,1,1,0,140,0
1C1D,147,1,1,0,143,0
9497,211,1,1,0,161,0
B052,244,1,1,0,174,0
33DF,201,1,1,0,183,0
E280,169,1,1,0,207,0
7BD2,53,1,1,0,240,0
C955,63,1,1,0,5,0
6BEB,102,1,1,0,28,0
0837,114,1,1,0,41,0
40DA,172,1,1,0,51,0
908A,155,1,1,0,74,0
5F0C,150,1,1,0,82,1
FBEC,104,1,1,0,87,0
2C39,120,1,1,0,94,0
388E,19,1,1,0,102,0
4DA7,177,1,1,0,104,1
4C97,77,1,1,0,107,0
4089,-6995597,1,0,0,0,0
DCB6,192,1,1,0,123,0
C173,173,1,1,0,137,1
0132,126,1,1,0,144,1
ED20,181,1,1,0,148,0
B5FB,3,1,1,0,176,1
3BF1,4,1,1,0,177,0
90D7,82,1,1,0,201,0
CCFA,198,1,1,0,226,1
2DC0,77,1,1,0,237,0
5808,240,1,1,0,251,1
D218,140,1,1,0,1,0
E9E4,45,1,1,0,8,0
27BE,156,1,1,0,44,0
4883,214,1,1,0,56,0
7667,127,1,1,0,59,0
3B79,11,1,1,0,64,1
9094,77083,1,0,0,0,0
D0DB,185,1,1,0,76,0
E69C,217,1,1,0,77,0
8572,11,1,1,0,88,0
009A,16,1,1,0,95,0
B11D,249,1,1,0,118,0
BBEF,118,1,1,0,144,0
DEE6,54,1,1,0,181,0
23EB,106,1,1,0,193,0
E548,251,1,1,0,204,0
A909,127,1,1,0,208,1
8674,103,1,1,0,210,0
ED24,254,1,1,0,220,0
D706,46,1,1,0,222,0
5D2F,87,1,1,0,229,0
82B3,128,1,1,0,230,0
615B,140,1,1,0,233,0
97D5,103,1,1,0,0,1
F6D9,120,1,1,0,35,0
5823,84,1,1,0,39,1
7500,161,1,1,0,45,0
E054,122,1,1,0,59,0
49FF,247,1,1,0,72,0
FA1A,154,1,1,0,88,0
4043,94,1,1,0,93,0
3678,5,1,1,0,97,0
CF02,152,1,1,0,117,0
8356,254,1,1,0,130,0
7177,139,1,1,0,133,1
EC8E,102,1,1,0,134,0
E873,54,1,1,0,151,0
DE05,21,1,1,0,169,0
1D22,235,1,1,0,177,0
B0B6,212,1,1,0,187,1
72C2,217,1,1,0,207,0
6B0F,160,1,1,0,215,0
DDC5,243,1,1,0,222,0
15C1,118,1,1,0,224,0
9C8C,107,1,1,0,232,0
BF3B,38,1,1,0,236,0
AA58,215,1,1,0,237,0
CDE0,157,1,1,0,246,0
5A8C,113,1,1,0,250,1
85E7,169,1,1,0,21,0
70AE,13,1,1,0,29,0
6530,99,1,1,0,54,0
14C7,31,1,1,0,64,0
AE00,76,1,1,0,73,0
1D73,225,1,1,0,107,0
3991,158,1,1,0,113,0
AAA4,9666146,1,0,0,0,0
9ACE,150,1,1,0,114,1
CAA3,146,1,1,0,131,0
D3C7,147,1,1,0,133,0
2AA0,69,1,1,0,154,0
E3FA,109,1,1,0,156,0
4C12,163,1,1,0,170,1
0D41,40,1,1,0,174,0
E363,37,1,0,1,0,0
A2CD,195,1,1,0,176,0
224E,141,1,1,0,191,0
81A8,55,1,1,0,205,0
C576,126,1,1,0,211,0
C95F,170,1,1,0,221,0
03E2,175,1,1,0,227,0
6FEA,48,1,1,0,13,0
5B37,56,1,1,0,20,0
49B2,146,1,1,0,29,1
3FE7,217,1,1,0,34,0
DEDE,68,1,1,0,42,0
CDF6,96,1,1,0,57,0
E0E4,173,1,1,0,76,0
FFB5,181,1,1,0,90,0
1DB8,105,1,1,0,91,1
4256,193,1,1,0,101,0
33CF,26,1,1,0,111,0
73C3,81,1,1,0,112,1
4107,224,1,1,0,129,0
D4D0,253,1,1,0,162,0
DF2F,191,1,1,0,197,1
AB82,54,1,1,0,201,1
E462,190,1,1,0,202,0
2CF1,91,1,1,0,205,0
A9CD,123,1,1,0,212,1
4828,195,1,1,0,222,0
C862,47,1,1,0,223,0
0ED5,144,1,1,0,224,0
49C4,162,1,0,1,0,0
9266,136,1,1,0,228,0
E6FA,141,1,1,0,255,0
71D1,132,1,1,0,3,0
376A,45,1,1,0,29,0
7424,124,1,1,0,44,0
6B8E,168,1,1,0,51,0
116B,127,1,1,0,55,0
31CA,43,1,1,0,63,0
D529,14,1,1,0,65,0
A735,82,1,1,0,66,1
370A,248,1,1,0,72,0
E4C8,177,1,1,0,73,0
354A,84,1,1,0,113,0
3CF5,88,1,1,0,115,0
E0F7,5,1,1,0,116,1
517A,194,1,1,0,146,1
